size,compactness,variance_mean,clusters,variance_norm,clusters_norm,score
9,5,0.0058132817200260865,2921,0.8331383075492426,0.04564686737184703,0.28189429942506566
9,1,0.005814313815728476,2921,0.8334574112719584,0.04564686737184703,0.28199003054188043
9,10,0.00581581947931465,2921,0.8339229328843377,0.04564686737184703,0.2821296870255942
9,25,0.005818306540482483,2921,0.8346918833561208,0.04564686737184703,0.2823603721671291
9,50,0.005830316235193894,2921,0.8384050451125554,0.04564686737184703,0.28347432069405953
9,100,0.005861281006502968,2923,0.8479787443101171,0.04580960130187144,0.28646034420434513
8,10,0.005412966715274955,3672,0.7093687695312183,0.10675345809601301,0.28753805152657463
8,5,0.005415312369554861,3672,0.7100939997702259,0.10675345809601301,0.28775562059827686
8,25,0.005418504535244932,3672,0.711080954713328,0.10675345809601301,0.28805170708120753
8,1,0.005421842972844344,3672,0.7121131340582868,0.10675345809601301,0.2883613608846951
8,50,0.0054288742946089,3673,0.7142870806656497,0.10683482506102522,0.28907050174241256
8,100,0.005469366198412451,3675,0.7268063821351299,0.10699755899104964,0.2929402059342737
10,5,0.00628343480932142,2364,0.9785004098166964,0.00032546786004882016,0.2937779504470431
10,1,0.006283596290529015,2364,0.9785503366348905,0.00032546786004882016,0.2937929284925013
10,10,0.006286642624629322,2364,0.9794922033143021,0.00032546786004882016,0.29407548849632476
10,25,0.006288356190468636,2364,0.980022004220534,0.00032546786004882016,0.29423442876819433
10,50,0.006297017412064112,2363,0.98269988384738,0.00024410089503661513,0.29498083578073964
10,100,0.0063529721824440635,2360,1.0,0.0,0.3
7,1,0.004982112708790022,4832,0.5761571719069746,0.20113913751017087,0.313644547829212
7,5,0.004984476127399283,4832,0.5768878945277599,0.20113913751017087,0.31386376461544757
7,10,0.004986316714623282,4832,0.5774569679516698,0.20113913751017087,0.3140344866426205
7,25,0.004994087276090323,4832,0.5798594729577319,0.20113913751017087,0.3147552381444392
7,50,0.0050088095599816205,4828,0.5844113140183209,0.20081366965012204,0.31589296296058167
7,100,0.005053433336159613,4832,0.598208109283598,0.20113913751017087,0.32025982904219896
6,10,0.004390900514593888,6498,0.39336597178254057,0.3366965012205045,0.35369734238911527
6,5,0.0043965181490555,6497,0.3951028340380538,0.3366151342554923,0.35416144419026074
6,1,0.0043966895243204235,6497,0.3951558199044729,0.3366151342554923,0.35417733995018646
6,25,0.004405846689383485,6498,0.397987035512078,0.3366965012205045,0.3550836615079765
6,50,0.004408704678117716,6495,0.39887066950305566,0.33645240032546786,0.35517788107874415
6,100,0.004480896340926322,6500,0.4211909139318872,0.3368592351505289,0.3621587387849364
5,10,0.003768698441541129,9422,0.20099330969990803,0.5746135069161921,0.46252744775130683
5,1,0.0037728300693803942,9421,0.2022707278902308,0.5745321399511798,0.46285371633289507
5,5,0.0037730469967857737,9421,0.2023377975839185,0.5745321399511798,0.4628738372410014
5,25,0.0037869998484160996,9421,0.20665174529965075,0.5745321399511798,0.46416802155572107
5,50,0.0038064627461499795,9422,0.2126692910634223,0.5746135069161921,0.46603024216036115
5,100,0.003897974767875757,9416,0.24096301105309967,0.5741253051261188,0.47417661690421303
4,1,0.003118614107254068,14649,0.0,0.9999186330349878,0.6999430431244914
4,5,0.0031193730833054736,14649,0.00023466049019971974,0.9999186330349878,0.7000134412715513
4,10,0.0031223900929439863,14649,0.0011674606219029915,0.9999186330349878,0.7002932813110623
4,25,0.0031330811012020045,14650,0.004472910423527111,1.0,0.7013418731270581
4,50,0.0031579054228694134,14647,0.012148103179032612,0.9997558991049634,0.7034735603271842
4,100,0.0032710998719742723,14644,0.047145603911294444,0.9995117982099267,0.713801939920337
